path	filename	sentence	label
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101720.mp3	common_voice_en_101720.mp3	Sure, see you there!	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101919.mp3	common_voice_en_101919.mp3	Wait for the end of the war.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101193.mp3	common_voice_en_101193.mp3	But they were not there.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_103112.mp3	common_voice_en_103112.mp3	He and his family went up north to the Arctic Circle to meet Santa Claus in Finland.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101198.mp3	common_voice_en_101198.mp3	The leopard does not change his spots.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10057619.mp3	common_voice_en_10057619.mp3	Hey look, a flying pig!	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_102654.mp3	common_voice_en_102654.mp3	I'm going to tell your mother on you.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10132505.mp3	common_voice_en_10132505.mp3	He grew strawberries, so you would not like it.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_103666.mp3	common_voice_en_103666.mp3	It's the other foreigner, the Englishman.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_100363.mp3	common_voice_en_100363.mp3	It was the time of day when all of Spain slept during the summer.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10370.mp3	common_voice_en_10370.mp3	He had used the two stones only once, one morning when he was at a marketplace.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10325.mp3	common_voice_en_10325.mp3	There were lights in the upper windows of the houses when the people went to bed.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_100736.mp3	common_voice_en_100736.mp3	He was excited, and at the same time uneasy: maybe the girl had already forgotten him.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10341.mp3	common_voice_en_10341.mp3	Spotted dick is a classic British pudding.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10342.mp3	common_voice_en_10342.mp3	I say we don't go out any more.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101984.mp3	common_voice_en_101984.mp3	I don't want to change anything, because I don't know how to deal with change.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101987.mp3	common_voice_en_101987.mp3	I thought that someday I'd be rich, and could go to Mecca.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10091129.mp3	common_voice_en_10091129.mp3	By hook or by crook.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10091130.mp3	common_voice_en_10091130.mp3	Uranium and plutonium are radioactive.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101044.mp3	common_voice_en_101044.mp3	A glassblower is crafting a beautiful piece of art in his fire.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101045.mp3	common_voice_en_101045.mp3	A man looks on while a child plays a game.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_1027817.mp3	common_voice_en_1027817.mp3	Cheryl asked me about visiting the poetry slam with her tomorrow.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_1027819.mp3	common_voice_en_1027819.mp3	The beam dropped down on the workman's head.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101315.mp3	common_voice_en_101315.mp3	"""What is love?"" the desert asked."	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101317.mp3	common_voice_en_101317.mp3	It's called the principle of favorability.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_102918.mp3	common_voice_en_102918.mp3	You'll be the counselor of the oasis.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_102919.mp3	common_voice_en_102919.mp3	The boy didn't say anything.	NA
