path	filename	sentence	label
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_102838.mp3	common_voice_en_102838.mp3	He broke a new shoelace that day.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_102839.mp3	common_voice_en_102839.mp3	Pull this lever to activate the piston.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101318.mp3	common_voice_en_101318.mp3	From then on, the boy understood his heart.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101319.mp3	common_voice_en_101319.mp3	He placed Urim and Thummim in the chest.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101320.mp3	common_voice_en_101320.mp3	But you don't know about love.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101321.mp3	common_voice_en_101321.mp3	"""Tell me more about your dream,"" said the woman."	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101322.mp3	common_voice_en_101322.mp3	And, for wise men, gold is the metal that evolved the furthest.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101323.mp3	common_voice_en_101323.mp3	"""Well, why don't we go there right now?"" the boy asked."	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101324.mp3	common_voice_en_101324.mp3	The idea frightened him.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101325.mp3	common_voice_en_101325.mp3	"""That's the magic of omens,"" said the boy."	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101326.mp3	common_voice_en_101326.mp3	The alchemist dismounted, and told the escorts they could return to the camp.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101327.mp3	common_voice_en_101327.mp3	All things are one, the boy thought.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101328.mp3	common_voice_en_101328.mp3	But everything had changed.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_101329.mp3	common_voice_en_101329.mp3	He had seen the shooting star and was persuaded that a meteorite lay somewhere nearby.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10056232.mp3	common_voice_en_10056232.mp3	Better late thrive than never do well.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10056233.mp3	common_voice_en_10056233.mp3	The gloss on top made it unfit to read.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10056234.mp3	common_voice_en_10056234.mp3	The music played on while they talked.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10056235.mp3	common_voice_en_10056235.mp3	You are quite right.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10056236.mp3	common_voice_en_10056236.mp3	Do that with a wooden stick.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_10056237.mp3	common_voice_en_10056237.mp3	Wow, look how deep this canyon is!	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_103675.mp3	common_voice_en_103675.mp3	I'm never more aware of a room's acoustics than when I'm trying to enjoy a snack I have no intention of sharing.	NA
datasets/cv-corpus-6.1-2020-12-11/subset_cv/common_voice_en_103676.mp3	common_voice_en_103676.mp3	One by one, the campfires were extinguished, and the oasis fell as quiet as the desert.	NA
